Review,Liked
"Wow... Loved this place.",1
"Crust is not good.",0
"Not tasty and the texture was just nasty.",0
"Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.",1
"The selection on the menu was great and so were the prices.",1
"Now I am getting angry and I want my damn pho.",0
"Honeslty it didn't taste THAT fresh.",0
"The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.",0
"The fries were great too.",1
"A great touch.",1
"Service was very prompt.",1
"The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.",0
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1
"I was disgusted because I was pretty sure that was human hair.",0
"I was shocked because no signs indicate that cash only.",0
"Highly recommended.",1
"Waitress was a little slow in service.",0
"This place is not worth your time, let alone Vegas.",0
"did not like at all.",0
"The whole experience was underwhelming, and I think we may just have gotten unlucky with the new chef.",0
"Then, as if I hadn't wasted enough of my life there, they brought me the wrong bill.",0
"The atmosphere is pretty cool but the food is just too awful for words.",0
"Food is decent, but not worth the price.",0
"I would not go back.",0
"The food was amazing!",1
"Great service and friendly staff.",1
"Amazing ambience and decor.",1
"Good value for money.",1
"Poor quality ingredients.",0
"Slow service and rude staff.",0
"Terrible atmosphere.",0
"Overpriced for what you get.",0

